S0,K,T,C_mkt,iv_market
663.9829711914062,575.0,0.0006241757069063927,84.56,0.8535170898437501
663.9829711914062,580.0,0.0006241757069063927,94.58,0.7763694238281251
663.9829711914062,585.0,0.0006241757069063927,85.26,0.7695335546875001
663.9829711914062,590.0,0.0006241757069063927,89.22,0.7236355761718749
663.9829711914062,605.0,0.0006241757069063927,53.43,0.59570716796875
663.9829711914062,610.0,0.0006241757069063927,65.37,0.5576216113281252
663.9829711914062,615.0,0.0006241757069063927,47.81,0.7905294384765625
663.9829711914062,625.0,0.0006241757069063927,35.02,0.6527134338378908
663.9829711914062,630.0,0.0006241757069063927,32.62,0.39063109375
663.9829711914062,632.0,0.0006241757069063927,29.1,0.4172421557617187
663.9829711914062,635.0,0.0006241757069063927,25.84,0.37402969726562496
663.9829711914062,640.0,0.0006241757069063927,23.74,0.3244696459960937
663.9829711914062,642.0,0.0006241757069063927,17.09,0.2978585839843749
663.9829711914062,644.0,0.0006241757069063927,17.44,0.2966378930664062
663.9829711914062,645.0,0.0006241757069063927,18.04,0.29932341308593746
663.9829711914062,646.0,0.0006241757069063927,16.3,0.2749095947265625
663.9829711914062,647.0,0.0006241757069063927,12.83,0.2866282275390625
663.9829711914062,648.0,0.0006241757069063927,16.6,0.27637442382812494
663.9829711914062,649.0,0.0006241757069063927,11.65,0.2738109729003906
663.9829711914062,650.0,0.0006241757069063927,14.76,0.2710033837890625
663.9829711914062,651.0,0.0006241757069063927,12.67,0.24878680908203127
663.9829711914062,652.0,0.0006241757069063927,12.54,0.25012956909179684
663.9829711914062,653.0,0.0006241757069063927,10.97,0.24817646362304688
663.9829711914062,654.0,0.0006241757069063927,11.25,0.2268143725585937
663.9829711914062,655.0,0.0006241757069063927,10.56,0.23120885986328127
663.9829711914062,656.0,0.0006241757069063927,9.53,0.2299881689453125
663.9829711914062,657.0,0.0006241757069063927,8.71,0.23206334350585936
663.9829711914062,658.0,0.0006241757069063927,7.7,0.22815713256835937
663.9829711914062,659.0,0.0006241757069063927,7.1,0.22339643798828124
663.9829711914062,660.0,0.0006241757069063927,6.51,0.22095505615234373
663.9829711914062,661.0,0.0006241757069063927,5.82,0.20996883789062498
663.9829711914062,662.0,0.0006241757069063927,5.14,0.21009090698242186
663.9829711914062,663.0,0.0006241757069063927,4.6,0.21076228698730468
663.9829711914062,664.0,0.0006241757069063927,3.97,0.20337710693359373
663.9829711914062,665.0,0.0006241757069063927,3.42,0.19959296508789062
663.9829711914062,666.0,0.0006241757069063927,2.96,0.19886055053710935
663.9829711914062,667.0,0.0006241757069063927,2.52,0.19599192687988282
663.9829711914062,668.0,0.0006241757069063927,2.1,0.19184157775878907
663.9829711914062,669.0,0.0006241757069063927,1.7,0.1915364050292969
663.9829711914062,670.0,0.0006241757069063927,1.47,0.19068192138671874
663.9829711914062,671.0,0.0006241757069063927,1.19,0.18616536499023437
663.9829711914062,672.0,0.0006241757069063927,0.94,0.18433432861328125
663.9829711914062,673.0,0.0006241757069063927,0.76,0.1821370849609375
